character,concreteness_DRAFT,pictographic_DRAFT,notes
一,concrete,no,
七,concrete,no,
三,concrete,no,
上,concrete,yes,
下,concrete,yes,
不,abstract,no,
个,abstract,no,
中,abstract,no,
么,abstract,no,
九,concrete,no,
也,abstract,no,
书,concrete,no,
买,abstract,no,
了,abstract,no,
二,concrete,no,
五,concrete,no,
亦,abstract,no,"IDENTITY (logo, not curriculum-taught)"
人,concrete,yes,
什,abstract,no,
今,abstract,no,
从,abstract,no,
他,abstract,no,
们,abstract,no,
会,abstract,no,
住,concrete,no,
作,abstract,no,
你,abstract,no,
做,abstract,no,
儿,abstract,no,
八,concrete,no,
六,concrete,no,
再,abstract,no,
写,concrete,no,
冷,concrete,no,
几,abstract,no,
出,concrete,no,
到,abstract,no,
前,abstract,no,
动,abstract,no,
医,concrete,no,
十,concrete,no,
午,abstract,no,
去,abstract,no,
友,concrete,no,
口,concrete,yes,
叫,concrete,no,
吃,concrete,no,
名,abstract,no,
后,abstract,no,
吗,abstract,no,
听,concrete,no,
告,abstract,no,
和,abstract,no,
哥,concrete,no,
哪,abstract,no,
唱,concrete,no,
喜,abstract,no,
喝,concrete,no,
四,concrete,no,
回,concrete,no,
国,abstract,no,
在,abstract,no,
地,concrete,no,
坏,concrete,no,
坐,concrete,no,
外,abstract,no,
多,abstract,no,
大,concrete,yes,
天,concrete,no,
女,concrete,yes,
奶,concrete,no,
她,abstract,no,
好,concrete,no,
妈,concrete,no,
妹,concrete,no,
姐,concrete,no,
姥,concrete,no,
子,concrete,yes,
字,abstract,no,
学,concrete,no,
孩,concrete,no,
家,concrete,no,
对,abstract,no,
小,abstract,no,"IDENTITY (logo, not curriculum-taught)"
少,abstract,no,
就,abstract,no,
山,concrete,yes,
岁,abstract,no,
左,abstract,no,
师,concrete,no,
帮,abstract,no,
年,abstract,no,
床,concrete,no,
开,concrete,no,
弟,concrete,no,
很,abstract,no,
得,abstract,no,
快,concrete,no,
怎,abstract,no,
悟,abstract,no,
想,abstract,no,
我,abstract,no,
手,concrete,yes,
打,concrete,no,
找,concrete,no,
放,abstract,no,
新,abstract,no,
日,concrete,yes,
早,abstract,no,
时,abstract,no,
明,abstract,no,
星,concrete,no,
昨,abstract,no,
是,abstract,no,
晚,abstract,no,
月,concrete,yes,
有,abstract,no,
朋,concrete,no,
服,concrete,no,
木,concrete,yes,
条,abstract,no,
来,abstract,no,
杯,concrete,no,
果,concrete,no,
树,concrete,no,
校,concrete,no,
桌,concrete,no,
欢,abstract,no,
歌,concrete,no,
气,concrete,no,
水,concrete,yes,
汉,abstract,no,
没,abstract,no,
洗,concrete,no,
渴,concrete,no,
火,concrete,yes,
点,abstract,no,
热,concrete,no,
爱,abstract,no,
爷,concrete,no,
爸,concrete,no,
牛,concrete,yes,
玩,concrete,no,
现,abstract,no,
球,concrete,no,
生,concrete,yes,
电,concrete,yes,
男,concrete,no,
病,concrete,no,
白,concrete,no,
的,abstract,no,
看,concrete,no,
着,abstract,no,
睡,concrete,no,
知,abstract,no,
空,abstract,no,
穿,concrete,no,
站,concrete,no,
笑,concrete,no,
等,abstract,no,
米,concrete,yes,
累,concrete,no,
给,abstract,no,
老,abstract,no,
肉,concrete,no,
能,abstract,no,
脑,concrete,no,
花,concrete,no,
莓,abstract,no,"IDENTITY (logo, not curriculum-taught)"
菜,concrete,no,
蓝,abstract,no,"IDENTITY (logo, not curriculum-taught)"
薛,abstract,no,"IDENTITY (logo, not curriculum-taught)"
蛋,concrete,no,
衣,concrete,yes,
要,abstract,no,
见,abstract,no,
觉,abstract,no,
话,concrete,no,
说,concrete,no,
请,abstract,no,
读,concrete,no,
谁,abstract,no,
谢,abstract,no,
走,concrete,no,
跑,concrete,no,
路,concrete,no,
身,concrete,no,
车,concrete,yes,
过,concrete,no,
还,abstract,no,
这,abstract,no,
进,concrete,no,
道,abstract,no,
那,abstract,no,
都,abstract,no,
里,abstract,no,
门,concrete,yes,
问,concrete,no,
间,abstract,no,
雨,concrete,yes,
霖,abstract,no,"IDENTITY (logo, not curriculum-taught)"
面,concrete,no,
风,concrete,no,
飞,concrete,yes,
饭,concrete,no,
饿,concrete,no,
马,concrete,yes,
高,concrete,no,
鸡,concrete,no,
